Partial, Frequency, Amplitude, Duration;
0, 260.445282 , 0.053379 , 7.762501
1, 1308.791260 , 0.062500 , 3.799999
2, 1574.857910 , 0.087502 , 6.200001
3, 4159.335449 , 0.099998 , 1.750000
4, 2377.917969 , 0.099998 , 1.412502
5, 1841.034302 , 0.099998 , 6.475002
6, 1046.392700 , 0.099998 , 7.700001
7, 783.752991 , 0.099998 , 7.725002
8, 521.994324, 0.099998 , 7.762501
9, 5419.296387 , 0.112499 , 1.525002
10, 5285.282715 , 0.112499 , 1.450001
11, 4733.083008 , 0.112499 , 1.750000
12, 3491.870117 , 0.112499 , 2.225002
13, 3204.914795 , 0.112499 , 1.812500
14, 2930.260986 , 0.112499 , 2.562500
15, 5607.119629 , 0.125000 , 1.750000 
