Partial, Frequency, Amplitude, Duration;
0, 0.000000 , 0.000000 , 0.000000 
1, 0.000000 , 0.067253 , 2.401558 
2, 3244.986816 , 0.050339 , 0.082314 
3, 3497.250244 , 0.041214 , 0.069977 
4, 496.235382 , 0.036995 , 15.593895 
5, 1488.964355 , 0.038742 , 3.791962 
6, 1739.168457 , 0.032417 , 4.913368 
7, 1988.799927 , 0.038872 , 4.364693 
8, 2238.788330 , 0.038773 , 4.414925 
9, 4226.930176 , 0.037071 , 1.965454 
10, 744.609680 , 0.025497 , 12.231354 
11, 992.987488 , 0.026451 , 7.362114 
12, 1241.461792 , 0.026054 , 5.653084 
13, 2489.103027 , 0.025909 , 3.928398 
14, 2991.465820 , 0.025681 , 2.300812 
15, 3243.283203 , 0.025909 , 2.312988 
16, 3495.563477 , 0.025764 , 2.640511 
17, 3749.209473 , 0.026260 , 2.579514 
18, 4002.207520 , 0.025970 , 1.166374 
19, 4771.501465 , 0.026054 , 1.355042 
20, 5287.303711 , 0.025620 , 1.967354 
21, 5547.184570 , 0.026207 , 1.581306 
22, 5807.477051 , 0.026337 , 1.691742 
23, 6070.095703 , 0.025520 , 1.468079 
24, 7129.308594 , 0.025917 , 1.480194 
25, 7396.613281 , 0.026176 , 1.006660 
26, 8489.556641 , 0.026154 , 0.430626 
27, 8760.801758 , 0.026215 , 0.779945 
28, 12196.109375 , 0.025940 , 0.441284 
29, 13108.652344 , 0.026138 , 0.528526 
30, 14344.583984 , 0.026344 , 0.505051 
31, 0.000000 , 0.011787 , 14.019150 
