Partial, Frequency, Amplitude, Duration;
0, 0.000000 , 0.000000 , 0.000000 
1, 0.000000 , 0.727154 , 1.279594 
2, 3371.210693 , 0.727036 , 1.753002 
3, 787.715332 , 0.725395 , 10.648853 
4, 393.863068 , 0.726341 , 15.763309 
5, 7544.037598 , 0.738991 , 0.876106 
6, 6895.513672 , 0.739006 , 0.864223 
7, 6257.493164 , 0.739182 , 0.914139 
8, 5626.577148 , 0.739632 , 0.954987 
9, 5418.511230 , 0.739807 , 1.029835 
10, 4590.768555 , 0.739849 , 1.031578 
11, 4383.044922 , 0.738892 , 1.129753 
12, 3165.780518 , 0.734398 , 1.302883 
13, 2370.575195 , 0.739304 , 3.154709 
14, 1972.576172 , 0.739594 , 2.929214 
15, 1774.174927 , 0.739807 , 1.779686 
16, 201.817612 , 0.739845 , 17.619770 
17, 7105.070312 , 0.748699 , 0.889416 
18, 6676.514160 , 0.748432 , 0.943661 
19, 6043.557617 , 0.749893 , 0.782230 
20, 5830.298828 , 0.750687 , 0.992680 
21, 5207.150391 , 0.750359 , 1.081177 
22, 2969.058594 , 0.748020 , 1.479389 
23, 2770.470703 , 0.750538 , 1.754719 
24, 2569.577881 , 0.749596 , 2.555393 
25, 2171.652100 , 0.751064 , 3.105904 
26, 1379.297729 , 0.752266 , 3.104877 
27, 1181.779297 , 0.748779 , 4.778099 
28, 592.123047 , 0.751251 , 15.422871 
29, 361.446136 , 7.466473 , 7.617168 
30, 292.467010 , 12.708164 , 13.233295 
31, 0.000000 , 15.568256 , 19.573902 
