Partial, Frequency, Amplitude, Duration;
0, 80.457275 , 1.087500, 8.100000
1, 135.987366 , 1.087500 , 5.387500
2, 522.322449 , 1.087500 , 8.050000
3, 581.503601 , 1.087500 , 6.262500
4, 190.853378 , 1.075000 , 7.975000
5, 332.523682 , 1.075000 , 3.837500
6, 614.647583 , 1.062500 , 8.062500
7, 422.849792 , 1.050000 , 8.075000
8, 682.734070 , 1.050000 , 8.087501
9, 824.908630 , 1.050000 , 6.262500
10, 1317.488892 , 1.050000 , 3.125000
11, 1658.500122 , 1.050000 , 2.975000
12, 32.000000 , 1.012500 , 8.087501
13, 162.126846 , 1.012500 , 7.737500
14, 717.666992 , 1.012500 , 7.712500
15, 320.458801 , 1.012500 , 7.987500
16, 863.935852 , 1.012500 , 6.387500
17, 790.625916 , 1.012500 , 6.887500
18, 391.173706 , 1.012500 , 8.112500
19, 1497.007935 , 1.012500 , 2.675000
20, 108.104248, 1.012500 , 8.112500
21, 1365.024292 , 1.012500 , 2.337500
22, 940.041565 , 1.012500 , 6.587500
23, 1762.039062 , 1.012500 , 2.675000
24, 1229.300171 , 1.012500 , 5.287500
25, 1821.772217 , 1.012500 , 2.912500
26, 1266.429077 , 1.012500 , 4.925000
27, 649.015198, 1.012500 , 7.662500
