Partial, Frequency, Amplitude, Duration;
0, 0.000000 , 0.000000 , 0.000000 
1, 100243442524693267423273682355617792.000000 , 0.045220 , 13.423482 
2, 4233.513184 , 0.058098 , 0.115335 
3, 10747.164062 , 0.052028 , 0.072172 
4, 5019.452148 , 0.054374 , 0.091150 
5, 5615.652832 , 0.055379 , 0.082194 
6, 3268.211670 , 0.056371 , 0.153993 
7, 440.339447 , 0.057319 , 14.362746 
8, 5869.341309 , 0.057426 , 0.080661 
9, 110.939133 , 0.057675 , 20.743549 
10, 555.120544 , 0.057896 , 6.527152 
11, 4609.703125 , 0.057957 , 0.117126 
12, 2885.804688 , 0.057981 , 0.228026 
13, 2517.804932 , 0.057994 , 0.359113 
14, 2398.278564 , 0.058035 , 0.446760 
15, 3390.472412 , 0.058079 , 0.178718 
16, 1457.038452 , 0.058122 , 1.438162 
17, 666.200623 , 0.058189 , 5.324206 
18, 778.634399 , 0.058364 , 4.138806 
19, 2647.161865 , 0.058537 , 0.178129 
20, 1688.231567 , 0.058537 , 0.649178 
21, 3135.690186 , 0.058591 , 0.216378 
22, 3004.538086 , 0.063655 , 0.257306 
23, 5191.210938 , 0.062989 , 0.084396 
24, 4202.642578 , 0.064199 , 0.092644 
25, 5466.238281 , 0.064813 , 0.102950 
26, 1905.827759 , 0.067489 , 0.624364 
27, 1114.778320 , 0.068271 , 1.942217 
28, 2278.622803 , 0.069440 , 0.422911 
29, 1342.118774 , 0.069920 , 1.345447 
30, 1002.318115 , 0.082918 , 0.113832 
31, 0.000000 , 0.133137 , 1.752076 
