Partial, Frequency, Amplitude, Duration;
0, 0.000000 , 0.000000 , 0.000000 
1, 0.000000 , 0.000594 , 0.454150 
2, 3020.315918 , 0.000916 , 0.073344 
3, 14462.508789 , 0.001298 , 0.055516 
4, 198.382431 , 0.001485 , 12.981288 
5, 3059.204346 , 0.002092 , 0.164815 
6, 264.395203 , 0.002167 , 10.748965 
7, 529.781738 , 0.002267 , 4.895563 
8, 132.169235 , 0.002276 , 12.978164 
9, 330.271027 , 0.002396 , 8.647651 
10, 1457.484985 , 0.007673 , 0.623155 
11, 8477.281250 , 0.007661 , 0.027578 
12, 8838.844727 , 0.007695 , 0.028986 
13, 3267.190674 , 0.008076 , 0.088078 
14, 8441.331055 , 0.008440 , 0.028130 
15, 1861.125977 , 0.010635 , 0.591069 
16, 1389.352661 , 0.011099 , 0.577325 
17, 4585.736816 , 0.011228 , 0.102124 
18, 2931.735596 , 0.011593 , 0.048184 
19, 398.816162 , 0.013660 , 6.677825 
20, 737.172119 , 0.013986 , 1.439230 
21, 1241.351440 , 0.014585 , 0.448169 
22, 1776.754150 , 0.014649 , 0.240075 
23, 807.774902 , 0.014762 , 1.289077 
24, 1324.357300 , 0.014873 , 0.440301 
25, 66.133476 , 0.015018 , 12.966054 
26, 879.277710 , 0.020343 , 1.039160 
27, 976.298950 , 0.021458 , 0.550643 
28, 1087.574585 , 0.023182 , 0.629228 
29, 662.504028 , 0.023304 , 3.566317 
30, 601.797729 , 0.028840 , 2.889770 
31, 0.000000 , 0.056673 , 4.809301 
